crop_year,district_id,total_tons,avg_price,num_varieties
2000,1,1045.2,1170.6113333333333,45
2000,2,2072.8,1156.1278571428572,28
2000,3,1295.7,1179.8203636363637,55
2000,4,564.0,1235.5642857142857,42
2000,5,2780.3999999999996,727.5351851851852,27
2000,6,1173.2,986.3695652173913,46
2000,7,4182.2,1165.7718750000001,48
2000,8,1502.0,1010.0141176470588,51
2000,9,7701.8,670.6774193548387,31
2000,10,667.8000000000001,750.0672093023255,43
2000,11,16349.6,333.12244444444445,45
2000,12,12372.199999999999,203.07485714285713,35
2000,13,24652.2,105.20701754385965,57
2000,14,28204.0,154.7955357142857,56
2000,15,69.8,843.99375,16
2000,16,369.7,642.0,27
2000,17,4468.8,478.74350000000004,20
2001,1,1687.5,1084.938604651163,43
2001,2,635.2,966.7817857142857,28
2001,3,796.9,1218.2655357142855,56
2001,4,577.2,1415.2656521739132,46
2001,5,2261.8,676.71875,24
2001,6,1633.0,1009.8653846153846,52
2001,7,7192.5,920.9095918367346,49
2001,8,1541.7,885.9251063829788,47
2001,9,2064.4,674.7273076923077,26
2001,10,772.3,819.2311111111111,45
2001,11,18359.9,387.57153846153847,52
2001,12,17870.6,224.84375,32
2001,13,67174.0,158.7970909090909,55
2001,14,61619.5,124.41058823529411,51
2001,15,109.6,693.5384615384615,13
2001,16,1215.3,595.015806451613,31
2001,17,2848.9,520.9090909090909,22
2002,1,690.2,995.3555813953488,43
2002,2,1071.8,833.0213333333334,30
2002,3,638.1,1251.8223636363637,55
2002,4,661.9,1305.7664285714286,42
2002,5,2521.3,694.4558620689655,29
2002,6,1147.7,953.8302040816327,49
2002,7,4562.0,883.9838775510204,49
2002,8,1093.2,837.9837037037038,54
2002,9,2673.1000000000004,611.0585714285714,28
2002,10,651.5,799.2578723404256,47
2002,11,10530.9,356.14222222222224,54
2002,12,14429.9,278.3137837837838,37
2002,13,50852.1,120.88294117647058,51
2002,14,67092.2,79.82509803921569,51
2002,15,78.2,504.0,10
2002,16,163.1,629.375,24
2002,17,3870.7,454.2105263157895,19
2003,1,975.7,754.551,40
2003,2,1295.4,811.359375,32
2003,3,631.4,1222.2062068965517,58
2003,4,770.1,1247.1642857142858,42
2003,5,2409.5,466.7826086956522,23
2003,6,1726.4,883.8765909090909,44
2003,7,3937.1,829.0704255319148,47
2003,8,2149.3,703.1140384615385,52
2003,9,2732.4,632.2419230769231,26
2003,10,655.9,663.1288888888889,45
2003,11,13756.5,342.6725925925926,54
2003,12,27016.0,293.53476190476187,42
2003,13,39578.299999999996,182.71224137931034,58
2003,14,55709.700000000004,134.47185185185185,54
2003,15,126.39999999999999,301.4,10
2003,16,119.7,684.1666666666666,30
2003,17,5047.3,526.5217391304348,23
2004,1,1491.1,895.8830434782609,46
2004,2,1701.8999999999999,920.5321212121213,33
2004,3,991.2,1146.8174137931035,58
2004,4,515.7,1307.6161904761905,42
2004,5,3109.9,593.7170833333333,24
2004,6,1603.8999999999999,797.25,44
2004,7,2699.0,808.0484905660377,53
2004,8,2580.4,762.0856363636364,55
2004,9,2610.8,542.1835714285714,28
2004,10,575.1,722.8024489795919,49
2004,11,12579.300000000001,323.52435483870966,62
2004,12,15463.7,550.1248936170213,47
2004,13,48843.5,231.27087719298245,57
2004,14,80078.1,216.6346153846154,52
2004,15,107.1,509.09090909090907,11
2004,16,4655.7,685.5223529411765,34
2004,17,5433.7,566.3461538461538,26
2005,1,1289.0,952.6308695652173,46
2005,2,809.8,882.8125,32
2005,3,951.3000000000001,1249.744,55
2005,4,711.3,1498.4847727272727,44
2005,5,2029.6000000000001,656.3870833333334,24
2005,6,1264.8,817.2268085106384,47
2005,7,8505.0,757.9852830188679,53
2005,8,6081.799999999999,790.8058928571428,56
2005,9,13868.4,777.0902941176471,34
2005,10,418.6,762.1121568627451,51
2005,11,19917.4,345.1615517241379,58
2005,12,17975.8,417.01145833333334,48
2005,13,47823.1,238.91142857142856,63
2005,14,34131.8,190.83599999999998,50
2005,15,3244.5,676.1904761904761,21
2005,16,189.5,842.75,31
2005,17,2889.8,517.5416666666666,24
2006,1,789.6,900.813829787234,47
2006,2,1324.6,926.6932258064517,31
2006,3,659.7,1271.7466129032257,62
2006,4,604.6,1509.9026086956524,46
2006,5,3215.6,742.1684615384615,26
2006,6,758.3,810.5264102564103,39
2006,7,2972.1,916.977924528302,53
2006,8,1494.6,831.2433333333333,57
2006,9,2884.1,697.0845,40
2006,10,485.4,797.8515094339622,53
2006,11,10247.4,353.4345762711864,59
2006,12,12551.0,507.36431818181813,44
2006,13,55007.4,231.4296875,64
2006,14,26017.4,173.01282608695652,46
2006,15,84.1,780.0,15
2006,16,172.8,906.8015151515152,33
2006,17,3831.0,492.2037037037037,27
2007,1,1217.3999999999999,1000.0610909090909,55
2007,2,1416.2,960.6060606060606,33
2007,3,1176.1,1358.3056666666666,60
2007,4,818.5,1520.1991489361703,47
2007,5,1559.0,734.5535714285714,28
2007,6,1892.8999999999999,781.8372093023256,43
2007,7,3419.5,857.5254901960785,51
2007,8,3796.7000000000003,840.4694642857143,56
2007,9,5889.9,684.702,35
2007,10,569.0,777.6219298245613,57
2007,11,15026.7,296.82421875,64
2007,12,23419.7,414.22288888888886,45
2007,13,74714.5,183.9758064516129,62
2007,14,35403.7,187.516875,48
2007,15,92.1,740.625,16
2007,16,172.4,895.8832432432432,37
2007,17,3203.5,547.8333333333334,30
2008,1,1255.3,1129.0572222222222,54
2008,2,720.6999999999999,1046.6451612903227,31
2008,3,3220.3,1746.126794871795,71
2008,4,1370.8999999999999,2190.596393442623,57
2008,5,2101.7,822.0,31
2008,6,620.8,891.9306818181817,44
2008,7,2869.9,1050.211724137931,58
2008,8,2438.1,1062.1547887323945,70
2008,9,3730.3,775.6740476190477,42
2008,10,2421.6,906.3149206349206,63
2008,11,14086.5,448.09420289855075,69
2008,12,24196.4,522.6836363636363,44
2008,13,133564.2,230.7558904109589,73
