id,crop_year,district_id,variety_code,grape_type_code,total_tons,avg_price_per_ton,source_url
66574792d2dc62cf,2000,1,0,6,3.7,2100.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,5296.6,1813.49,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,12.6,1569.84,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,5.6,1700.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,18.2,1613.68,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,658.2,1887.82,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,16.6,2311.47,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,2377.2,1880.09,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,3.5,1200.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,313.4,1723.49,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,11.8,1750.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,712.8,1912.87,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,5134.5,1454.38,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
66574792d2dc62cf,2000,1,0,6,13.0,500.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,1502.5,1256.07,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,44.8,696.3,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,71.8,800.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,214.0,1009.02,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,3.5,1200.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,4921.6,1011.22,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,149.5,896.99,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,61.0,1597.05,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,188.3,856.97,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
403fd6cf2827720e,2000,2,0,7,5.0,1100.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,0.3,1000.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,89.0,1542.13,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,226.2,1803.8,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,4078.0,1674.98,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,73.4,855.28,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,8.1,2000.15,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,2015.2,1596.85,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,0.5,1000.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,104.0,1792.24,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,7.3,2048.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,1.6,1966.37,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,11.4,1573.68,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,1.5,1450.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,371.8,1305.95,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,1.5,1450.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,1.5,1450.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,1.5,1450.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
071129bdc7b8d333,2000,2,0,6,1836.4,832.83,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,27.0,1500.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,49739.0,1958.98,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,439.0,603.92,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,1131.1,560.91,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,590.0,1264.72,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,66.5,1128.82,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,5.4,1000.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,13.6,1804.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,35.6,1810.11,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,12.5,1658.89,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,66.2,1721.77,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,0.9,1190.48,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,21.0,550.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,412.7,1607.08,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,376.6,1755.89,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,26.2,1817.86,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,5667.8,1395.87,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,142.7,1493.25,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,17.2,748.26,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,417.8,1444.1,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,8.4,1604.17,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,5.0,2319.44,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,345.1,2140.27,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,111.9,1489.36,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e766a685ac9a57c7,2000,3,0,7,17.9,754.79,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e1a7a082f05a85e4,2000,3,0,6,1.0,1500.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e1a7a082f05a85e4,2000,3,0,6,19.0,2100.0,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e1a7a082f05a85e4,2000,3,0,6,110.9,1630.67,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e1a7a082f05a85e4,2000,3,0,6,154.1,2078.11,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e1a7a082f05a85e4,2000,3,0,6,1513.0,2226.53,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
e1a7a082f05a85e4,2000,3,0,6,20620.2,2419.54,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/
