variety_code,variety_name,grape_type_code,grape_type_name,grape_category
47124,Trousseau,6,Wine Grapes (Red),wine
47141,Summer Muscat,5,Table Grapes,table
47727,Green Hungarian,7,Wine Grapes (White),wine
49354,Arneis,7,Wine Grapes (White),wine
49496,Merlot (Cont'd),6,Wine Grapes (Red),wine
49561,Cabernet Franc (Cont'd),6,Wine Grapes (Red),wine
51651,Dolcetto,6,Wine Grapes (Red),wine
52101,Merlot,6,Wine Grapes (Red),wine
52255,Grenache Gris,7,Wine Grapes (White),wine
52432,Malaga,4,Raisin Grapes,raisin
52503,Flame Seedless,4,Raisin Grapes,raisin
52512,Black Monukka,4,Raisin Grapes,raisin
52698,Dovine,4,Raisin Grapes,raisin
53004,Pristine,4,Raisin Grapes,raisin
53403,Triplett Blanc,7,Wine Grapes (White),wine
54185,Symphony,7,Wine Grapes (White),wine
54551,Scarlet Royal,4,Raisin Grapes,raisin
55093,Cardinal,4,Raisin Grapes,raisin
55134,Muscat Orange,7,Wine Grapes (White),wine
55436,Carignane,6,Wine Grapes (Red),wine
55618,Sauvignon Vert,7,Wine Grapes (White),wine
55904,Marsanne,7,Wine Grapes (White),wine
56184,De Chaunac,6,Wine Grapes (Red),wine
56711,Durif,6,Wine Grapes (Red),wine
56890,Ribolla Gialla,7,Wine Grapes (White),wine
56968,Semillon (Cont'd),7,Wine Grapes (White),wine
57535,Malbec,6,Wine Grapes (Red),wine
58110,Petite Verdot,6,Wine Grapes (Red),wine
58328,Albarino,7,Wine Grapes (White),wine
58413,Dawn Seedless,5,Table Grapes,table
58471,Carmeniere,6,Wine Grapes (Red),wine
59230,Concord,4,Raisin Grapes,raisin
59597,Red Seedless,4,Raisin Grapes,raisin
59791,Carnelian,6,Wine Grapes (Red),wine
59919,Primitivo (Cont'd),6,Wine Grapes (Red),wine
60325,Pinot Gris * (Cont'd),7,Wine Grapes (White),wine
61314,St. Emilion * (Cont'd),7,Wine Grapes (White),wine
62127,Zinfandel (Cont'd),6,Wine Grapes (Red),wine
62209,Sagrantino,6,Wine Grapes (Red),wine
62223,Tinta Madeira,6,Wine Grapes (Red),wine
63397,Zinfandel,6,Wine Grapes (Red),wine
63465,Carmine,6,Wine Grapes (Red),wine
63569,Ribier,4,Raisin Grapes,raisin
63910,Black Prince,6,Wine Grapes (Red),wine
63929,Barbera (Cont'd),6,Wine Grapes (Red),wine
64026,Negrette,6,Wine Grapes (Red),wine
64473,Canner,4,Raisin Grapes,raisin
64507,Chasselas Dore,7,Wine Grapes (White),wine
64947,Syrah,6,Wine Grapes (Red),wine
65672,Verdelho,6,Wine Grapes (Red),wine
66081,Chenin Blanc,7,Wine Grapes (White),wine
66615,Marroo Seedless,5,Table Grapes,table
67024,Nero D'Avola,6,Wine Grapes (Red),wine
67041,Emperor,4,Raisin Grapes,raisin
67046,Negroamaro,6,Wine Grapes (Red),wine
67779,Touriga,6,Wine Grapes (Red),wine
67927,Diamond Muscat,4,Raisin Grapes,raisin
68109,Marroo,4,Raisin Grapes,raisin
68450,Gewurztraminer,7,Wine Grapes (White),wine
68484,Viognier,7,Wine Grapes (White),wine
68607,Allison,4,Raisin Grapes,raisin
68777,Sauvignon Blanc (Cont'd),7,Wine Grapes (White),wine
68814,Sultana,4,Raisin Grapes,raisin
68847,Sauvignon Musque,7,Wine Grapes (White),wine
69326,Sangiovese,6,Wine Grapes (Red),wine
69465,Gamay,6,Wine Grapes (Red),wine
70144,Tannat,6,Wine Grapes (Red),wine
70491,Cinsaut,6,Wine Grapes (Red),wine
70656,Emerald Seedless,4,Raisin Grapes,raisin
71405,Autumn Royal,5,Table Grapes,table
71546,Red Globe,4,Raisin Grapes,raisin
71747,Nebbiolo,6,Wine Grapes (Red),wine
71918,Red Crimson,4,Raisin Grapes,raisin
73119,Christmas Rose,4,Raisin Grapes,raisin
73621,Other White,7,Wine Grapes (White),wine
74246,Melon,7,Wine Grapes (White),wine
74377,Calmeria,4,Raisin Grapes,raisin
74535,Tinta Cao,6,Wine Grapes (Red),wine
74542,Colorino,6,Wine Grapes (Red),wine
75906,Mission,6,Wine Grapes (Red),wine
76356,Cabernet Sauvignon,6,Wine Grapes (Red),wine
76434,Vernaccia,7,Wine Grapes (White),wine
76911,Cabernet Sauvignon (Cont'd),6,Wine Grapes (Red),wine
77213,Other Red,6,Wine Grapes (Red),wine
78137,Sylvaner,7,Wine Grapes (White),wine
78617,Tempranillo,6,Wine Grapes (Red),wine
79619,Exotic,4,Raisin Grapes,raisin
81188,Viognier (Cont'd),7,Wine Grapes (White),wine
81258,Pinotage,6,Wine Grapes (Red),wine
81762,Ivory Seedless,4,Raisin Grapes,raisin
82398,Torrontes,7,Wine Grapes (White),wine
82587,Tinta Barroca,6,Wine Grapes (Red),wine
83486,Meunier,6,Wine Grapes (Red),wine
83950,Rouge,5,Table Grapes,table
84023,French Colombard,7,Wine Grapes (White),wine
84353,Burger,7,Wine Grapes (White),wine
84696,St Emilion,7,Wine Grapes (White),wine
85045,Graciano,6,Wine Grapes (Red),wine
85778,Flora,7,Wine Grapes (White),wine
85875,White Riesling * (Cont'd),7,Wine Grapes (White),wine
86439,Summer Royal,4,Raisin Grapes,raisin
86748,Cabernet Dorsa,6,Wine Grapes (Red),wine
86855,Gamay (Napa),6,Wine Grapes (Red),wine
87797,Perlette,4,Raisin Grapes,raisin
87973,Perelli,6,Wine Grapes (Red),wine
88467,Pecorino,7,Wine Grapes (White),wine
88536,Kleinberger,7,Wine Grapes (White),wine
89130,Lagrein,6,Wine Grapes (Red),wine
89439,Rubired,6,Wine Grapes (Red),wine
89563,Palomino,7,Wine Grapes (White),wine
89636,Jubilee,4,Raisin Grapes,raisin
89839,Syrah * (Cont'd),6,Wine Grapes (Red),wine
89948,Semillon,7,Wine Grapes (White),wine
89975,Thompson Seedless,4,Raisin Grapes,raisin
90534,Alvarelhao,6,Wine Grapes (Red),wine
90697,Cabernet Franc,6,Wine Grapes (Red),wine
90903,Malbec (Cont'd),6,Wine Grapes (Red),wine
91196,Italia,4,Raisin Grapes,raisin
91525,Pedro Ximenes,7,Wine Grapes (White),wine
91770,Fiesta,4,Raisin Grapes,raisin
91798,Monastrell,6,Wine Grapes (Red),wine
91874,St.Emilion,7,Wine Grapes (White),wine
92696,Dornfelder,6,Wine Grapes (Red),wine
92697,Gamay Beaujolais,6,Wine Grapes (Red),wine
92800,Other White b/,7,Wine Grapes (White),wine
92897,Sauvignon Gris,7,Wine Grapes (White),wine
93033,Fiano,7,Wine Grapes (White),wine
93163,Aleatico,6,Wine Grapes (Red),wine
93250,Grand Noir,6,Wine Grapes (Red),wine
93379,Other Red  b/,6,Wine Grapes (Red),wine
93749,Counoise,6,Wine Grapes (Red),wine
94009,Pinot St George,6,Wine Grapes (Red),wine
95214,Carignane (Cont'd),6,Wine Grapes (Red),wine
95286,Valdiguie,6,Wine Grapes (Red),wine
95916,Muscat Blanc,7,Wine Grapes (White),wine
96249,Grenache Blanc,7,Wine Grapes (White),wine
96343,Freisa,6,Wine Grapes (Red),wine
96747,Grenache * (Cont'd),6,Wine Grapes (Red),wine
97219,Gamay Noir Au Jus Blanc,6,Wine Grapes (Red),wine
97346,St Laurent,6,Wine Grapes (Red),wine
98172,Grignolino,6,Wine Grapes (Red),wine
98185,Emerald Riesling,7,Wine Grapes (White),wine
98504,Touriga Nacional,6,Wine Grapes (Red),wine
98824,Ivory,4,Raisin Grapes,raisin
99340,Gruner Veltliner,7,Wine Grapes (White),wine
99470,Crimson Seedless,5,Table Grapes,table
