id,crop_year,district_id,variety_code,grape_type_code,brix_code,brix_value,wt_price_per_ton,tons_crushed,report_type
711195d8f678fb69,2000,2,49539,6,0010,,1450.0,1.5,Final
4e485d53bbec21de,2000,2,57454,6,0010,,1450.0,1.5,Final
4b21cdecebf5fab8,2000,2,59887,6,2790,2.79,600.0,1239.6,Final
7977b1db6668c687,2000,3,91039,7,0960,0.96,1500.0,27.0,Final
7d8fd7ebf3705077,2000,3,62594,7,0010,,900.0,31.0,Final
3ded1792275762b5,2000,3,93146,7,0010,,450.0,150.3,Final
3ba8754595a354a0,2000,3,46999,7,0010,,300.0,31.4,Final
b2e8a5682473e950,2000,3,38174,7,1190,1.19,869.41,5.8,Final
c118fc12a0622d24,2000,3,28324,7,0010,,1111.0,62.4,Final
137f389a20df6343,2000,3,49051,7,1240,1.24,1000.0,5.4,Final
12eabbbe4a2dee17,2000,3,66546,7,0010,,1804.0,13.6,Final
66a6bb3c0b9297b6,2000,3,45183,7,0010,,1800.0,33.6,Final
4db488be6f25ca30,2000,3,22639,7,1240,1.24,1658.89,12.5,Final
40bf8f2b76f8920f,2000,3,60317,7,0010,,1640.72,52.0,Final
442242f0cbf4d5b5,2000,3,82076,7,0010,,1190.48,0.9,Final
5ab49bc9c788cf73,2000,3,99582,7,0010,,550.0,21.0,Final
be81393aaaf83ac5,2000,3,91155,7,0010,,1442.51,27.7,Final
4feb9191e269767f,2000,3,84170,7,0010,,889.14,5.2,Final
c18df401e0f6f1f0,2000,3,91354,7,0010,,1800.0,21.3,Final
508e563265096439,2000,3,51980,7,0010,,700.0,93.5,Final
fae75ea3a4532eff,2000,3,50886,7,0980,0.98,1493.25,142.7,Final
8c5765f1b0377c80,2000,3,29099,7,0010,,500.0,11.1,Final
0cf3de8bf15a8239,2000,3,79539,7,1630,1.63,800.0,0.3,Final
5a645ea581fdb845,2000,3,23534,7,0010,,1540.0,3.5,Final
a23cd560f018914e,2000,3,19484,7,0010,,2319.44,5.0,Final
